DATA THROUGH 2023,State,Station_ID,City,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876BIRMINGHAM,AL,13876,BIRMINGHAM,193001,202312,0,0,0,NA,3,13,19,18,8,NA,0,0,62
03856HUNTSVILLE,AL,03856,HUNTSVILLE,195809,202312,0,0,0,NA,3,12,17,16,7,NA,0,0,56
13894MOBILE,AL,13894,MOBILE,194801,202312,0,0,0,NA,5,17,22,21,11,1,0,0,77
13895MONTGOMERY,AL,13895,MONTGOMERY,194801,202312,0,0,NA,NA,6,18,24,23,13,2,NA,0,86
26451ANCHORAGE,AK,26451,ANCHORAGE,195206,202312,0,0,0,0,1,4,7,3,NA,0,0,0,16
25308ANNETTE,AK,25308,ANNETTE,194102,201909,0,0,0,NA,2,4,6,7,2,NA,0,0,20
27502BARROW,AK,27502,BARROW,190109,202312,0,0,0,0,0,NA,NA,NA,0,0,0,0,0
26615BETHEL,AK,26615,BETHEL,192308,202312,0,0,0,0,1,5,6,2,NA,0,0,0,14
26533BETTLES,AK,26533,BETTLES,195105,202312,0,0,0,0,2,14,16,6,NA,0,0,0,38
26415BIG DELTA,AK,26415,BIG DELTA,191706,202312,0,0,0,NA,3,11,15,8,NA,NA,0,0,38
25624COLD BAY,AK,25624,COLD BAY,195003,202312,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
26411FAIRBANKS,AK,26411,FAIRBANKS,192912,202312,0,0,0,NA,5,17,20,10,1,NA,0,0,53
26425GULKANA,AK,26425,GULKANA,190908,202312,0,0,0,NA,2,10,14,7,NA,0,0,0,33
25507HOMER,AK,25507,HOMER,193209,202312,0,0,0,0,NA,1,1,1,0,0,0,0,3
25309JUNEAU,AK,25309,JUNEAU,193609,202312,0,0,0,NA,2,5,7,6,NA,0,0,0,21
25503KING SALMON,AK,25503,KING SALMON,194203,202312,0,0,0,0,1,3,6,4,NA,0,0,0,15
25501KODIAK,AK,25501,KODIAK,194901,202312,0,0,0,0,NA,1,3,3,NA,0,0,0,8
26616KOTZEBUE,AK,26616,KOTZEBUE,189710,202312,0,0,0,0,NA,1,3,1,0,0,0,0,5
26510MCGRATH,AK,26510,MCGRATH,194106,202312,0,0,0,0,2,12,14,6,1,0,0,0,35
26617NOME,AK,26617,NOME,190009,202312,0,0,0,0,NA,2,2,1,NA,0,0,0,5
25713ST. PAUL ISLAND,AK,25713,ST. PAUL ISLAND,191509,202312,0,0,0,0,0,0,0,0,0,0,0,0,0
26528TALKEETNA,AK,26528,TALKEETNA,191807,202312,0,0,0,NA,2,10,14,8,NA,0,0,0,35
26442VALDEZ,AK,26442,VALDEZ,191705,201402,0,0,0,0,1,2,3,2,NA,0,0,0,8
25339YAKUTAT,AK,25339,YAKUTAT,191704,202312,0,0,0,NA,1,1,1,1,NA,0,0,0,4
03103FLAGSTAFF,AZ,03103,FLAGSTAFF,189311,202312,0,0,0,0,NA,1,2,NA,NA,0,0,0,4
23183PHOENIX,AZ,23183,PHOENIX,193306,202312,0,NA,2,10,23,29,31,31,28,16,1,0   1,70
23160TUCSON,AZ,23160,TUCSON,194606,202312,0,NA,1,6,19,29,29,29,25,11,NA,0   1,48
