DATA THROUGH 2023,State,Station_ID,City,Start_Date,End_Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876BIRMINGHAM,AL,13876,BIRMINGHAM,193001,202312,15,10,5,1,0,0,0,0,0,NA,6,12,50
03856HUNTSVILLE,AL,03856,HUNTSVILLE,195809,202312,18,13,6,1,0,0,0,0,0,1,8,15,61
13894MOBILE,AL,13894,MOBILE,194801,202312,8,5,1,NA,0,0,0,0,0,NA,2,5,21
13895MONTGOMERY,AL,13895,MONTGOMERY,194801,202312,13,7,2,NA,0,0,0,0,0,NA,4,10,38
26451ANCHORAGE,AK,26451,ANCHORAGE,195204,202312,30,27,29,21,3,0,0,NA,3,19,28,30,191
25308ANNETTE,AK,25308,ANNETTE,194102,201909,16,14,13,4,NA,0,0,0,NA,1,9,15,73
27502BARROW,AK,27502,BARROW,190109,202312,31,28,31,30,31,23,12,13,24,31,30,31,314
26615BETHEL,AK,26615,BETHEL,192308,202312,30,28,31,28,15,1,NA,NA,6,25,29,30,221
26533BETTLES,AK,26533,BETTLES,195105,202312,31,28,31,29,13,NA,NA,2,14,30,30,31,240
26415BIG DELTA,AK,26415,BIG DELTA,191905,202312,31,28,30,26,7,NA,NA,1,10,27,30,31,221
25624COLD BAY,AK,25624,COLD BAY,195003,202312,24,22,25,20,8,NA,0,NA,1,9,18,23,151
26411FAIRBANKS,AK,26411,FAIRBANKS,192912,202312,31,28,31,27,7,NA,0,1,10,29,30,31,225
26425GULKANA,AK,26425,GULKANA,190705,202312,31,28,31,28,15,1,NA,3,14,27,29,31,238
25507HOMER,AK,25507,HOMER,193209,202312,27,25,27,21,8,NA,0,NA,3,17,25,27,181
25309JUNEAU,AK,25309,JUNEAU,193611,202312,24,22,23,14,3,NA,0,NA,1,8,18,23,135
25503KING SALMON,AK,25503,KING SALMON,194202,202312,28,25,28,25,11,1,NA,NA,6,21,26,28,198
25501KODIAK,AK,25501,KODIAK,194901,202312,22,20,22,14,3,NA,0,0,1,11,19,22,133
26616KOTZEBUE,AK,26616,KOTZEBUE,189710,202312,31,28,31,29,25,6,NA,NA,7,27,30,31,244
26510MCGRATH,AK,26510,MCGRATH,194106,202312,31,28,31,28,10,NA,NA,1,10,27,30,31,226
26617NOME,AK,26617,NOME,190009,202312,31,28,31,29,20,4,NA,1,10,25,29,31,239
25713ST. PAUL ISLAND,AK,25713,ST. PAUL ISLAND,191509,202312,26,26,29,26,18,3,NA,NA,2,11,19,25,184
26528TALKEETNA,AK,26528,TALKEETNA,191807,202312,31,28,30,27,13,1,NA,1,8,24,29,30,221
26442VALDEZ,AK,26442,VALDEZ,191705,201402,30,27,30,21,6,NA,0,NA,3,15,28,30,191
25339YAKUTAT,AK,25339,YAKUTAT,191704,202312,25,23,25,19,7,NA,0,NA,3,11,20,24,157
03103FLAGSTAFF,AZ,03103,FLAGSTAFF,189311,202312,30,28,29,23,12,2,NA,NA,2,18,28,30,203
23183PHOENIX,AZ,23183,PHOENIX,193306,202312,3,2,NA,0,0,0,0,0,0,0,1,2,8
23160TUCSON,AZ,23160,TUCSON,194606,202312,5,3,1,NA,0,0,0,0,0,NA,1,5,15
23194WINSLOW,AZ,23194,WINSLOW,189810,202312,28,24,19,8,1,NA,0,0,NA,6,22,28,136
13964FORT SMITH,AR,13964,FORT SMITH,194510,202312,22,15,7,1,0,0,0,0,0,1,8,18,70
13963LITTLE ROCK,AR,13963,LITTLE ROCK,193804,202312,18,12,4,NA,0,0,0,0,0,NA,5,14,54
23155BAKERSFIELD,CA,23155,BAKERSFIELD,193710,202312,5,1,NA,0,0,0,0,0,0,NA,1,5,12
23157BISHOP,CA,23157,BISHOP,189502,202312,29,24,20,8,2,NA,0,0,NA,8,24,29,144
23225BLUE CANYON,CA,23225,BLUE CANYON,194312,202312,16,16,16,10,4,NA,0,0,NA,2,9,15,90
93193FRESNO,CA,93193,FRESNO,194801,202312,7,3,1,NA,0,0,0,0,0,NA,1,7,18
23129LONG BEACH,CA,23129,LONG BEACH,194901,202312,NA,0,0,0,0,0,0,0,0,0,0,NA,0
